name,iso,natural,conflict,socioecon,vuln,institutional,infra
Afghanistan,AFG,6.1,10,7.2,7.2,7.2,7.8
Albania,ALB,5.6,0.1,2.3,0.6,5.6,2.6
Algeria,DZA,4.1,6.7,3.1,3.4,5,4.2
Angola,AGO,2.1,4.9,4.4,4.6,6.5,8
Antigua and Barbuda,ATG,2.9,0.1,3,1,5,1.7
Argentina,ARG,3.4,1.2,2.8,1.3,4.6,2.2
Armenia,ARM,4.2,2,2.3,3.2,6.7,2.1
Australia,AUS,5.7,0.1,0.6,2.8,2.3,1.9
Austria,AUT,2.3,0,0.8,4,2.2,0.5
Azerbaijan,AZE,4.5,5.8,2.5,5.8,6.1,2.5
Bahamas,BHS,3.4,0.3,2.4,1,3.6,2.5
Bahrain,BHR,0.1,0.2,1.7,0.9,4.6,1
Bangladesh,BGD,8.2,6.6,4.9,6.2,4.9,5.4
Barbados,BRB,2.6,0,2.4,0.5,2.9,2
Belarus,BLR,2.3,2.9,1.1,1.4,4.3,1.4
Belgium,BEL,1.6,5.5,0.6,2.9,2.4,0.7
Belize,BLZ,5.5,0.2,3.6,0.8,6.4,3.9
Benin,BEN,1.4,2.7,6.4,2.5,5.8,7.6
Bhutan,BTN,3.2,0.1,5,1.2,4.1,4.9
Bolivia,BOL,3.7,4.8,4.6,1.8,6,4.6
Bosnia and Herzegovina,BIH,4.4,1.3,2.6,4.7,6.1,2.5
Botswana,BWA,2.8,0.1,4,2.9,4.8,4.4
Brazil,BRA,3.8,7,3.3,1.3,5.1,3.1
Brunei Darussalam,BRN,2.2,2.4,0.9,0.5,4.7,3.9
Bulgaria,BGR,3.3,0.7,1.9,2.7,4.2,1.7
Burkina Faso,BFA,2.6,4.8,6.9,4.4,4.6,7.3
Burundi,BDI,2.8,6.4,7.1,6.2,6.2,6.7
Cabo Verde,CPV,1.9,0.1,5.1,1,4.1,3.8
Cambodia,KHM,5.7,3,5.1,2.2,7,6.1
Cameroon,CMR,2.3,6.8,6,6.5,4.8,6.8
Canada,CAN,5,0.4,0.7,3.3,2.2,2.4
Central African Republic,CAF,1.7,10,8.7,8.9,8.1,9.1
Chad,TCD,3.4,7,7.2,7.9,8,9.6
