name,iso,natural,conflict,socioecon,vuln,institutional,infra
Afghanistan,AFG,6,10,6.2,7.3,7.2,7.8
Albania,ALB,5.5,0.1,1.7,0.7,5.6,2.7
Algeria,DZA,3.9,6.6,3.1,3.4,5,4.2
Angola,AGO,2.1,5.7,4.4,4.9,6.5,8
Antigua and Barbuda,ATG,2.7,0.1,2.1,1.2,5,1.6
Argentina,ARG,3.4,1.2,1.7,1.2,4.6,2.3
Armenia,ARM,4.2,2,2,3.5,6.7,2.3
Australia,AUS,5.5,0.1,0.6,2.8,2.3,1.9
Austria,AUT,2.4,0,0.8,3.9,2.2,0.5
Azerbaijan,AZE,4.5,6,1.4,6.5,6.1,2.5
Bahamas,BHS,3.4,0.1,2.4,1,3.6,2.5
Bahrain,BHR,0.1,0.2,1.7,0.9,4.6,1
Bangladesh,BGD,8.3,6.4,3.5,6.9,4.9,5.6
Barbados,BRB,2.5,0,1.6,0.5,2.9,2
Belarus,BLR,2.3,2.9,1,1.4,4.3,1.4
Belgium,BEL,1.6,5.6,0.6,2.9,2.4,0.7
Belize,BLZ,5.2,0.1,2.6,1.1,6.4,3.9
Benin,BEN,1.5,2.7,5.6,2.4,5.8,7.7
Bhutan,BTN,3.2,0.1,3.5,1.2,4.1,5
Bolivia,BOL,3.8,4.8,3.2,2.1,6,4.6
Bosnia and Herzegovina,BIH,4.2,1.4,1.8,4.6,6.1,2.5
Botswana,BWA,2.7,0.1,4,3,4.8,4.5
Brazil,BRA,3.7,7,2.4,1.3,5.1,3.1
Brunei Darussalam,BRN,2.1,2.4,0.9,0.5,4.7,4
Bulgaria,BGR,3.3,0.6,1.9,2.6,4.2,1.8
Burkina Faso,BFA,2.6,4.9,6.9,4.1,4.6,7.3
Burundi,BDI,3,6.4,6.8,6.6,6.2,6.7
Cabo Verde,CPV,1.9,0,5.1,1,4.1,3.8
Cambodia,KHM,5.5,2.9,3.7,3,7,6
Cameroon,CMR,2.3,6.8,4.8,6.5,4.8,6.9
Canada,CAN,4.8,0.6,0.7,3.3,2.2,2.4
Central African Republic,CAF,1.7,10,8.3,8.8,8.1,9.1
Chad,TCD,3.8,7,7.2,8.4,8,9.6
Chile,CHL,6.6,2.1,2.2,1.2,3.2,2.7
China,CHN,7.9,5.6,1.7,3.8,3.8,3.4
Colombia,COL,6.5,7,2.7,7.7,4.4,3.6
Comoros,COM,2.6,1.3,5.4,2.3,7.8,5.2
Congo,COG,2.5,4.3,4.1,6.3,7.6,7
Congo DR,COD,3.3,9,6.1,8.3,7.8,8.2
Costa Rica,CRI,6.3,0.1,2.7,1.8,2.9,2.5
Côte d'Ivoire,CIV,1.9,6.2,5.2,5.8,7.1,7.1
Croatia,HRV,5,0.7,1.4,0.8,4.5,1.5
Cuba,CUB,5.5,1,3.5,2.9,3.9,2.1
Cyprus,CYP,3.1,0.1,1.2,6.6,3.7,1.4
Czech Republic,CZE,2.1,0.1,0.8,1.4,3.1,1
Denmark,DNK,1,0,0.4,3.1,2,0.7
Djibouti,DJI,4.9,2.6,4.9,5.1,6.2,6.6
Dominica,DMA,3.6,0.1,3.9,3.3,4.6,2.9
Dominican Republic,DOM,5.7,3.4,2.6,3,5.5,3.7
Ecuador,ECU,6.8,1,2.3,4.3,4.7,3.7
Egypt,EGY,5.4,7,2.3,4.2,5.4,3.4
El Salvador,SLV,6.1,7,3.4,1,5.7,3.5
Equatorial Guinea,GNQ,1.4,3.9,3.7,1.9,8.1,6.2
Eritrea,ERI,4.1,4,5.5,3.2,8.2,7.5
Estonia,EST,0.9,0.1,1.1,1.1,2.9,1
Ethiopia,ETH,4.1,9,6.3,7.1,4.7,8.1
Fiji,FJI,3.8,0.1,3.6,3.3,2.8,3.9
Finland,FIN,0.1,0,0.6,2.6,1.8,1
France,FRA,3.7,2,0.8,4.2,2.8,1.1
Gabon,GAB,1.8,5.8,2.8,2.6,6.7,5.5
Gambia,GMB,2.2,2.2,6,3.6,5,5.8
Georgia,GEO,4.5,2.5,2.4,5.7,4.5,2
Germany,DEU,2.2,1.3,0.5,5.2,2.2,0.7
Ghana,GHA,2.4,2.2,4,3.3,4.6,5.8
Greece,GRC,4.6,3.5,1.7,3.1,3.6,1
Grenada,GRD,0.5,0.1,2.4,1,4.9,2.2
Guatemala,GTM,6.9,4.5,4.1,5.2,6.1,4.7
Guinea,GIN,2.4,4.9,5.4,3.5,6.1,8.3
Guinea-Bissau,GNB,2.2,4.4,7.7,4.8,8.1,7.6
Guyana,GUY,2.9,0.1,3.3,2.2,5.9,4.5
Haiti,HTI,5.6,5,6.5,6.5,7.6,7.2
Honduras,HND,5.7,3.6,3.5,5.2,6,4.2
Hungary,HUN,3.6,0.4,1.5,1.6,3.1,1.1
Iceland,ISL,1.3,0,0.4,1,2.3,1.6
India,IND,7.8,6.4,3.8,5.4,3.6,5.3
Indonesia,IDN,7.8,6.1,2.2,2.7,4.5,4.9
Iran,IRN,6.9,5.4,2.6,5.5,5.3,3.6
Iraq,IRQ,5.4,10,2.9,7.5,8.2,5.1
Ireland,IRL,2,0,0.7,1.7,2.5,1.3
Israel,ISR,4.3,4,1.1,2.9,3.1,0.9
Italy,ITA,4.9,1.8,1,3.5,3.5,0.9
Jamaica,JAM,3.7,0.2,2.4,1.1,4.1,3.3
Japan,JPN,8.3,0.6,0.8,0.8,2,0.9
Jordan,JOR,3.9,1.1,3.8,7.7,5.6,2.3
Kazakhstan,KAZ,4.3,1.1,1,0.4,4.9,2.3
Kenya,KEN,4.9,6.5,4.4,6.4,5.2,7.2
